n_errors_per_participant,r,sb,sb_lo,sb_hi,n_participants,n_participants_used,draws,block,note,task
10,0.14159505798518862,0.24806113871022795,0.023336565461033736,0.3718282169194283,168,168.0,50,40,,ffa
20,0.20377314597800802,0.33855565077332883,0.1319762820804972,0.4850965170231542,158,158.0,50,40,,ffa
30,0.2593274383398464,0.4118506379973617,0.22234731893070345,0.5691987379508933,141,141.0,50,40,,ffa
40,0.29343935682178757,0.4537347414042761,0.2822181072455429,0.5625542740432155,124,124.0,50,40,,ffa
50,0.39667259632785296,0.5680250517335195,0.44131008997651616,0.671246550417385,97,97.0,50,40,,ffa
60,0.42679847954354044,0.5982596350513669,0.4780546898471631,0.6885578800532873,84,84.0,50,40,,ffa
80,0.5451518717615661,0.7056277611692814,0.6482629640424187,0.7842490229216456,46,46.0,50,40,,ffa
10,0.0748180312311603,0.13917972877368673,-0.17816598698969696,0.3605426114034257,168,168.0,50,20,,ffa
20,0.14010881233278022,0.24578052840511883,0.06948608215784678,0.414658803727937,158,158.0,50,20,,ffa
30,0.19134275553654534,0.32119627354318814,0.09439584735396762,0.5314572511774482,141,141.0,50,20,,ffa
40,0.2456519338603444,0.39441103226106894,0.21888627144809072,0.4861711381593886,124,124.0,50,20,,ffa
50,0.28142091349045,0.4392323273979156,0.2763745383810075,0.5551548015762438,97,97.0,50,20,,ffa
60,0.34814924983838746,0.5164762528772557,0.37199708681729116,0.6024188034500999,84,84.0,50,20,,ffa
80,0.4324497495032295,0.6037869820320998,0.5341263895280927,0.6894951496088016,46,46.0,50,20,,ffa
10,0.12826591819470812,0.22736580497931047,-0.043834398566178004,0.42083310392972006,168,168.0,50,80,,ffa
20,0.20018669489682073,0.33359252730509414,0.12733607005714973,0.4688109141441225,158,158.0,50,80,,ffa
30,0.22922685179072183,0.37294444890420575,0.18769035800301145,0.49569277482053303,141,141.0,50,80,,ffa
40,0.2872711807790358,0.4463227800773917,0.2608152896537275,0.5345623065577116,124,124.0,50,80,,ffa
50,0.34589989348896455,0.5140042999193408,0.38719770809808873,0.6534867904364781,97,97.0,50,80,,ffa
60,0.37223230397734264,0.5425190382997491,0.3854187285560459,0.6488789713584043,84,84.0,50,80,,ffa
80,0.49302600845239597,0.6604385540674882,0.565516627613013,0.7476184455249446,46,46.0,50,80,,ffa
10,0.10496592713295562,0.1899817350219418,-0.08687081653780385,0.385532486717561,167,167.0,50,40,,ffb
20,0.10788437479062973,0.19475667213695336,0.02029985508680506,0.38831914083554864,144,144.0,50,40,,ffb
30,0.08723379800030695,0.16046907264899835,-0.0387506839433312,0.30871728426468886,123,123.0,50,40,,ffb
