label,bin,bin_mid,effect,se,effect_pw,t,n_events,n_players
self_lost,"(-inf, -12.0]",-inf,-0.8602531851967696,0.03079523638757864,-0.8727328195435157,-27.934618665364606,1405,791
self_lost,"(-12.0, -8.0]",-10.0,-0.8929387080552167,0.03807107873387673,-0.8730389590927796,-23.454515547011656,829,545
self_lost,"(-8.0, -4.0]",-6.0,-0.7606968265468821,0.02631044442523608,-0.758743233388586,-28.912351849794206,2272,1012
self_lost,"(-4.0, -1.0]",-2.5,-0.6452657418939484,0.02488863768925534,-0.6304622207920271,-25.926117369313296,2814,1116
self_lost,"(-1.0, 1.0]",0.0,-0.5790671111352363,0.026114676482258493,-0.5784193958838193,-22.174010523493816,2128,989
self_lost,"(1.0, 4.0]",2.5,-0.4367478237442049,0.030170208961323604,-0.4451195849716922,-14.476128564574722,1759,886
self_lost,"(4.0, 8.0]",6.0,-0.3691772598655953,0.04257195234263088,-0.3926134273217386,-8.671842364530391,699,501
self_lost,"(8.0, inf]",inf,-0.2632751651697644,0.0516912221641522,-0.25260809958391744,-5.093227711538718,679,450
opp_lost,"(-inf, -12.0]",-inf,-0.3446610509225193,0.03382370996770439,-0.37244053267489163,-10.189924501233282,1125,678
opp_lost,"(-12.0, -8.0]",-10.0,-0.12201409837223004,0.06639166014635907,-0.09651724270064034,-1.8377925495951213,244,205
opp_lost,"(-8.0, -4.0]",-6.0,-0.006551777021049402,0.03511868969310705,-0.0036183854825382923,-0.18656097588787193,1170,692
opp_lost,"(-4.0, -1.0]",-2.5,0.11984441983036923,0.025585322938009896,0.13513703166522598,4.684108155317702,2718,1130
opp_lost,"(-1.0, 1.0]",0.0,0.10213631877038677,0.026733400928981778,0.14377376635313485,3.8205508921859774,2324,1050
opp_lost,"(1.0, 4.0]",2.5,0.15484753421512146,0.02500747068075027,0.1778391706491607,6.1920510151519155,2852,1142
opp_lost,"(4.0, 8.0]",6.0,0.20154051137282777,0.029672938897848108,0.196694872431233,6.792064381174039,1882,940
opp_lost,"(8.0, inf]",inf,0.19887151085907873,0.03934330792336254,0.18750757797991785,5.054773514379211,921,568
