label,n_events_per_player,r,sb,sb_lo,sb_hi,n_players,n_players_used,draws,note
"Material loss, lower",10,0.06377324155749842,0.11989990387601268,0.014660172895897881,0.21040897189669136,753,753.0,50,
"Material loss, lower",20,0.11477365985846233,0.20591380490383365,0.10166740359527755,0.30162201568245944,753,753.0,50,
"Material loss, lower",30,0.1770602785559091,0.30085166234639427,0.2178093535384526,0.3642294765839604,753,753.0,50,
"Material loss, lower",40,0.2169761395113064,0.3565822178080552,0.2806997579624047,0.4385819763968329,753,753.0,50,
"Material loss, lower",50,0.26604697299498803,0.4202797275753907,0.34494192221211734,0.478719760849057,753,753.0,50,
"Material loss, lower",60,0.2954057525149141,0.45608218145001445,0.37960395823100823,0.5117277766736783,753,753.0,50,
"Material loss, lower",80,0.3641761972937041,0.5339137061047349,0.47104493864735764,0.6042426802483001,753,753.0,50,
"Material loss, lower",100,0.40950809358919604,0.5810652597738739,0.5521450654979814,0.6285812358483797,753,753.0,50,
"Material loss, lower",150,0.5008906221784541,0.667457456987433,0.6211535182586941,0.6964387225257833,686,686.0,50,
"Material loss, lower",200,0.5677699003724106,0.7243025884945822,0.6836125106493569,0.7718679720124302,322,322.0,50,
"Material loss, lower",237,,,,,0,,0,0 players (<20) - cannot estimate
"Material loss, lower",300,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",10,-0.0076277573988786,-0.01537483357133173,-0.2143504010486936,0.13682442782693927,442,442.0,50,
"Blunder, lower",20,0.020423644546445692,0.040028235843177745,-0.09823259243510428,0.16677326293036715,438,438.0,50,
"Blunder, lower",30,-0.005528235356090434,-0.01111807054087088,-0.1743245859835852,0.13648783082932175,310,310.0,50,
"Blunder, lower",40,,,,,9,,0,9 players (<20) - cannot estimate
"Blunder, lower",50,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",60,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",80,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",100,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",150,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",200,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",237,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, lower",300,,,,,0,,0,0 players (<20) - cannot estimate
"Material loss, titled",10,0.051879065887915646,0.09863278910045142,-0.29301326767539965,0.5243711132050252,46,46.0,50,
"Material loss, titled",20,0.10133414912778663,0.18401164819637436,-0.29369507247758925,0.5090062200069797,46,46.0,50,
"Material loss, titled",30,0.17007049366168353,0.29070115727206336,-0.10534511542569445,0.5509979324037403,46,46.0,50,
"Material loss, titled",40,0.2191333068153858,0.35948011811314196,-0.0723182868886599,0.6308206008733662,46,46.0,50,
"Material loss, titled",50,0.3412524082014219,0.5085174479900781,0.07077653375206656,0.6780414188790388,46,46.0,50,
"Material loss, titled",60,0.3488786062002732,0.517264543961949,0.24456161643767055,0.7104568168655915,46,46.0,50,
"Material loss, titled",80,0.37118242509017674,0.5414039504908077,0.2739306849249849,0.7795750007312979,46,46.0,50,
"Material loss, titled",100,0.433583642232255,0.6048925378610637,0.44106485230028486,0.7675122396729503,44,44.0,50,
"Material loss, titled",150,0.5295908443654036,0.6924476664062819,0.3930493508501295,0.8358304031517293,27,27.0,50,
"Material loss, titled",200,,,,,8,,0,8 players (<20) - cannot estimate
"Material loss, titled",237,,,,,0,,0,0 players (<20) - cannot estimate
"Material loss, titled",300,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",10,0.021209769777930973,0.04153580372725569,-0.369721145385671,0.36249052578226615,99,99.0,50,
"Blunder, titled",20,0.09349459856782166,0.17082765962495056,-0.23053482193115857,0.33311516798434576,95,95.0,50,
"Blunder, titled",30,-0.011218769930975037,-0.022694467132062416,-0.41299146902586625,0.33003480463468643,47,47.0,50,
"Blunder, titled",40,,,,,1,,0,1 players (<20) - cannot estimate
"Blunder, titled",50,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",60,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",80,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",100,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",150,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",200,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",237,,,,,0,,0,0 players (<20) - cannot estimate
"Blunder, titled",300,,,,,0,,0,0 players (<20) - cannot estimate
