spec,level,event,effect,se,effect_pw,n_events,n_players
opening_cut,10,B,-0.5133764365006565,0.015652682529224023,-0.5481171143220994,13129,1683
opening_cut,14,B,-0.5133764365006565,0.015652682529224023,-0.5481171143220994,13129,1683
opening_cut,20,B,-0.5343209124385532,0.015489557988146564,-0.5615909287806329,12998,1676
measurement_floor,1,B,-0.5133764365006565,0.015652682529224023,-0.5481171143220994,13129,1683
measurement_floor,2,B,-0.5148309991150499,0.017784652599248264,-0.5171459503010454,11123,1583
measurement_floor,3,B,-0.452167930742147,0.021367324685073796,-0.4607004069250035,8125,1442
blunder_threshold,0.1,A,0.06563763525942357,0.017099614039937386,0.054461485486042516,13404,1564
blunder_threshold,0.2,A,0.06325678471934996,0.01665941355753724,0.0562707324164014,12916,1574
blunder_threshold,0.3,A,0.07823357480490303,0.020193770755737434,0.059419900196297004,8542,1460
caliper,0.1,B,-0.5247604879683611,0.020219008201481314,-0.5396789809233674,9224,1525
caliper,0.2,B,-0.5133764365006565,0.015652682529224023,-0.5481171143220994,13129,1683
caliper,0.4,B,-0.4991065848247366,0.013238392201836216,-0.5079168451181818,14516,1738
caliper,0.8,B,-0.49346732430469875,0.012558572703018474,-0.4961367242286304,14696,1744
caliper_vars,5 vars (main),B,-0.5598203409042274,0.018500022739381086,-0.5884283315758445,10429,1478
caliper_vars,6 vars (registered),B,-0.5866726620114517,0.021992418711701142,-0.604147607105457,7021,1345
